cliente,edicoes,Expo MultiMix 2025 Manaus,Expo MultiMix 2025 Belem,Expo MultiMix 2026 Manaus,Expo MultiMix 2026 Belem,feiras_nacionais_confirmadas,fontes
LUZ ALUMINIO / LUZ PANELAS,4,X,X,X,X,ABUP Show fev/2026,agente web cita mapa ABUP — confirmar
MIMO / ZIPPY,4,X,X,X,X,ABRIN 2025,release Abrin 2025
UNITERMI,4,X,X,X,X,ABUP Show 2025; ABCasa Fair fev/2026,Instagram Unitermi; Instagram Unitermi
UNITOYS (UNI-ART),4,X,X,X,X,ABRIN mar/2026,post oficial Feira Abrin
USUAL (UD),4,X,X,X,X,ABUP Show fev/2026,mapa oficial ABUP 2026
USUAL BRINQUEDOS E UTILIDADES,4,X,X,X,X,ABUP Show fev/2026,mapa oficial ABUP 2026
ALVINI,3,,X,X,X,,
AMILPLAST,3,X,,X,X,,
NATHOR,3,,X,X,X,,
NEW GOODS,3,,X,X,X,,
SALUS,3,X,,X,X,ABUP Show fev/2026,mapa oficial ABUP 2026
SMILING KIDS (JORANI),3,X,X,,X,,
ZOOP TOYS (LUMINUS),3,X,X,,X,,
ARCA PLAST,2,,X,,X,,
ARK BRASIL,2,X,,X,,,
AROMA TROPICAL,2,X,X,,,ABUP Show fev/2026,agente web — confirmar
BARUFE,2,X,X,,,ABRIN mar/2026,reel oficial Feira Abrin
BEE TOYS,2,X,,,X,ABRIN mar/2026,Instagram Milk/Abrin
BG PLAS,2,,X,,X,ABUP Show fev/2026,"mapa ABUP (Plasútil, mesmo grupo) — confirmar"
BRINQUEDOS ANJO,2,,X,,X,ABRIN mar/2026; Showbrinq 2026,reel Abrin; post Showbrinq/Mercotoys
DIVERTOYS,2,,X,,X,ABRIN mar/2026,site Abrin (expositores confirmados)
DOCE BRINQUEDOS,2,X,,X,,,
EASY PLAST,2,,X,X,,,
EMPÓRIO DAS FANTASIAS,2,,,X,X,,
FC,2,,,X,X,,
FECOMERCIO,2,,X,,X,,
FOR-PLAST,2,,X,,X,,
GRUPO PANDA,2,X,,,X,,
IMPORTADORA CASCAVEL,2,X,X,,,,
IMPORTADORA FT,2,,X,,X,,
INTIMATE,2,,,X,X,,
IRMAOS DALANEZE (ADIJOMAR),2,,X,,X,,
MAMUTTE,2,X,X,,,,
MANAUARAS BURGER,2,X,,X,,,
MBRILHANTE (A&B COMERCIO),2,,,X,X,,
MERCONPLAS,2,X,,X,,,
MILK INDUSTRIA,2,,X,,X,ABRIN mar/2026,Revista Brincar / Instagram Milk
MIX SAO PAULO,2,X,X,,,,
MULTI FLON,2,X,X,,,ABUP Show 2025; ABUP Show fev/2026,release ABUP; mapa oficial ABUP 2026
PLASTI.CO,2,,,X,X,,
PLASVALE,2,,,X,X,,
SAMBA TOYS,2,,X,,X,ABRIN mar/2026,Facebook Samba Toys
SEMAAN DISTRIBUIDORA,2,X,X,,,,
SID-NYL,2,,X,,X,,
SIMONAGGIO,2,X,,X,,ABUP Show fev/2026,mapa oficial ABUP 2026
SUPER 99,2,X,X,,,,
TILIN,2,,X,,X,ABRIN mar/2026; Showbrinq 2026,Instagram Tilin; reel Showbrinq
TPL,2,,X,,X,,
ULTRAAR,2,,X,X,,,
VIA AROMA,2,,,X,X,,
VIZZIA,2,,X,,X,,
XALINGO,2,,X,,X,ABRIN 2025,Instagram Xalingo
AC DISPLAY,1,X,,,,,
ADELIA,1,,X,,,,
ALUMÍNIO CINTHYA,1,,,,X,,
ARGO NORTE REP,1,,,,X,,
BANG TOYS,1,,X,,,ABRIN mar/2026,reel Feira Abrin
BBR TOYS,1,,X,,,ABRIN mar/2026,Post Show Report Abrin 2026
BR FESTA,1,,X,,,,
BRINQUE FELIZ (PORTO FELIZ),1,,,,X,,
BRW,1,X,,,,ExpoTEA 2025,Diário Induscom
BTOYS,1,,X,,,,
CAA BRASIL,1,,X,,,,
CANTINA DA BENCAO,1,X,,,,,
CDL,1,,,X,,,
CLASS HOME,1,,X,,,,
COLORIA,1,X,,,,,
CRAVEIRO (LANCHONETE),1,,,,X,,
DA CRUZ,1,,,X,,,
DCAZA,1,,,X,,,
DM BRASIL,1,,,,X,,
DM TOYS,1,,X,,,,
EBN COMERCIO,1,X,,,,,
FABRILAR,1,,,X,,,
FORTAL IMPORTS,1,,X,,,,
FÊNIX BRINQUEDOS,1,,,,X,,
GAVA TOYS,1,,,,X,,
GOYAMA,1,X,,,,,
HERMES REPRESENTACOES,1,,X,,,,
HL IMPORTS,1,,X,,,,
IBRINK,1,X,,,,Celebra Show 2024,blog Novabrink
INJET SUL,1,,X,,,,
LP HOUSE (SAMBA),1,,,,X,ABUP Show fev/2026,mapa oficial ABUP 2026
MARAL,1,,,,X,,
MATRIX,1,,X,,,,
MEL TOYS,1,,X,,,,
MILLER BRINQUEDOS,1,,X,,,,
NEW BABY,1,,X,,,,
PIPOCA SHOW KIDS,1,,,X,,,
PLASBERG,1,,,,X,,
PLASMONT,1,,,,X,ABUP Show 2025; ABUP Show fev/2026,release ABUP; mapa oficial ABUP 2026
POLIBRINQ,1,,,X,,,
POLYPERFIL,1,,,,X,,
Q FESTA,1,,X,,,,
QUALYPLAS,1,,,,X,,
RDR,1,,,,X,,
REI DO BALDE,1,,,,X,ABRIN mar/2026,Post Show Report Abrin 2026
REJU,1,X,,,,,
ROJEMAC,1,X,,,,ABCasa Fair 2026,LinkedIn Rojemac
SPIDER,1,,,,X,ABRIN mar/2026,Instagram Spider
TAG TOYS (TOYS ADVANTAG),1,,,X,,,
TOTEN,1,,,X,,,
VAREJO MODERNO,1,,,X,,,
VASAP,1,,,,X,ABUP Show fev/2026; ABCasa Fair 2026,mapa oficial ABUP 2026; LinkedIn Vasap
WELLMIX,1,,X,,,,
XPERT,1,,,,X,,
